Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
47,2.0,0.0,0.0,425.0,7.0,87.0,2411.0,0.0,50.506,0.0,0.0,398.4727075099945,,,,,,,,,,,,,,,,,,,,,22.668819039982985,17.138299973224616,48.58239513866014,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,536.0,8.0,111.0,2522.0,0.0,93.90599999999998,0.0,0.0,410.9442195892334,,,,,,,,,,,,,,,,,,,,,39.01952679201652,28.88789310912254,89.66449702310929,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,617.0,9.0,81.0,2603.0,0.0,59.805,0.0,0.0,420.29696893692017,,,,,,,,,,,,,,,,,,,,,22.602387536955078,18.826928238348508,58.032238848355014,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,679.0,10.0,62.0,2665.0,0.0,45.905,0.0,0.0,427.58209919929504,,,,,,,,,,,,,,,,,,,,,17.27504526968517,14.864840753948506,44.87882601929882,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,716.0,11.0,37.0,2702.0,0.0,17.80600000000002,0.0,0.0,432.0678720474243,,,,,,,,,,,,,,,,,,,,,5.183676163933104,5.502213168794008,17.631835817752233,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,777.0,12.0,61.0,2763.0,0.0,33.706,0.0,0.0,439.412469625473,,,,,,,,,,,,,,,,,,,,,10.661977339438847,10.34589296177143,33.08870809038462,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,826.0,13.0,49.0,2812.0,0.0,23.104000000000013,0.0,0.0,445.73139905929565,,,,,,,,,,,,,,,,,,,,,10.272180105860208,7.602914142741463,22.623286461274127,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,918.0,14.0,92.0,2904.0,0.0,57.802000000000014,0.0,0.0,456.61543560028076,,,,,,,,,,,,,,,,,,,,,25.34561863213062,16.056195053895657,55.52572881465867,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1065.0,15.0,147.0,3051.0,0.0,88.71,0.0,0.0,473.1310546398163,,,,,,,,,,,,,,,,,,,,,39.93806346238266,27.50068353231528,82.92202669772746,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1090.0,16.0,25.0,3076.0,0.0,3.205000000000001,0.0,0.0,476.5240867137909,,,,,,,,,,,,,,,,,,,,,0.9351894316103688,0.8504527287858828,3.18480506927902,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
